Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest,livestock index,crecimiento poblacional,crop production
Japan,1258661692,5.62502589,94.4074689,0.37471948,1214048.36,1.06E+14,68.4649978,100.66,-0.13269422,92.43
Kazakhstan,1374975351,1.30565512,99.1739073,4.2,248314.572,1.32E+12,1.22569174,116.82,1.47267674,140.89
Kenya,2894935013,75.5181686,17.3795726,5.35712564,14286.632,4.13E+11,7.68949626,113.06,2.55944065,135.42
Kyrgyz Republic,2329819153,26.608307,75.476219,4,9607.54,2901847670,3.362878,107.61,2.0061079,103.43
Cambodia,2858336628,68.0079101,30.6290814,7.1425711,6684.941,9.04E+12,54.2963992,91.84,1.6380839,196.37
Kiribati,1139374232,3.46502445,NA,-0.6978281,62.339,6301300,14.9999995,118.71,1.38164301,54.34
St. Kitts and Nevis,NA,1.69740281,NA,6.28480424,231.021,92820000,42.3076923,85.23,0.87632231,30.35
"Korea, Rep.",2721311037,2.83819151,82.3950038,3.34144776,587156.373,4.11E+14,63.5492158,120.18,0.62814986,96.47
Kuwait,5562390422,0,93.6898895,0.50113266,95408.006,2382000000,0.35072952,199.61,4.56104282,183.73
Latin America & Caribbean (excluding high income),1838906978,27.3169657,72.7642902,0.96474041,1734047.29,NA,47.5413245,123.263911,1.07806224,135.30575
Lao PDR,2839017177,60.4741412,NA,7.61196344,1954.511,8.33E+12,80.4689785,125.94,1.49386819,207.87
Lebanon,3044456692,3.23351915,97.6211011,1.88428566,24070.188,4.45E+12,13.4134899,77.67,5.71376741,97.33
Liberia,1494227071,83.9355343,NA,0.70114391,935.085,31022900,43.6980897,139.78,2.58316127,103.14
Libya,4750123391,1.75392908,99.1112964,-24,56996.181,NA,0.12332769,115.78,0.65725987,113.18
St. Lucia,2423630259,2.14586618,NA,1.33884906,407.037,158481700,33.3770502,127.7,0.44012448,50.19
Latin America & Caribbean,1839993651,27.082993,73.3463372,1.00102316,1912531.5,NA,46.3804431,122.54818,1.06001239,134.666635
Least developed countries: UN classification,444218263,73.4133848,28.2241049,5.43862426,293488.706,NA,29.3887037,116.164047,2.38683261,144.065441
Low income,4004779592,76.2227212,21.1340481,5.78270499,196277.45,NA,25.4448239,122.39989,2.48182082,135.179836
Liechtenstein,NA,62.5920263,NA,NA,44.004,NA,43.1250006,101.81,0.77943138,106.81
Sri Lanka,2692277652,57.5851811,50.545574,4.96070059,18393.672,1.30E+12,33.1143374,131,0.93320794,121.02
Lower middle income,6265168718,40.3659338,66.1653241,5.65762858,4184823.35,NA,29.0391091,132.457113,1.48897187,137.238652
Low & middle income,519354768,22.8240268,80.727598,4.41915792,21213767.3,NA,32.0215902,127.484981,1.29374137,133.901688
Lesotho,3308010261,51.3888985,NA,2.81728949,2467.891,2130059765,1.58102767,112.19,0.73272239,111
Late-demographic dividend,45022155,14.0706825,86.1823331,4.58948643,15089660.9,NA,39.0015971,125.042815,0.61096374,133.223528
Lithuania,1284519425,27.7050525,67.9937495,3.50797122,12838.167,6235132100,34.764565,93.66,-0.85982734,180.05
Luxembourg,1085761339,6.88323194,83.3317527,4.29678635,9658.878,2104516600,35.6790111,99.4,2.3569787,89.7
Latvia,148790851,40.2360616,56.7174276,1.91519038,6974.634,2520966000,53.965907,125,-0.94174335,141.13
"Macao SAR, China",NA,10.0204706,NA,-1.2010897,1283.45,1965000000,NA,86.02,2.19882443,109.79
St. Martin (French part),NA,NA,NA,NA,NA,NA,18.3823529,NA,-1.20882413,NA
Morocco,2994944999,11.7185873,88.4688628,2.66949393,59863.775,1.24E+11,12.6372395,148.47,1.40384505,129.15
Monaco,NA,NA,NA,7.2,NA,NA,NA,NA,1.13443142,NA
Moldova,1672646105,13.04735,88.6880222,4.99962558,4932.115,1.16E+10,12.3030117,98.31,-0.0609701,112.39
Madagascar,2351776666,72.0265271,NA,3.33920311,3076.613,1.44E+12,21.4661396,123.74,2.70099601,120.33
Maldives,9921230863,0.9030324,NA,7.3296262,1334.788,1128789700,3.33333333,113.1,4.56740973,61.16
Middle East & North Africa,5052272979,1.60152504,97.3590212,2.89734756,2593273.89,NA,2.06581594,124.710477,1.94019446,110.044477
Mexico,2309968975,9.75846242,90.27849,2.80434013,480270.657,2.68E+12,34.0191885,113.84,1.27767636,123.33
Marshall Islands,1107022018,12.0189983,NA,-0.9399653,102.676,10287600,70.2222241,NA,0.42237416,115.23
Middle income,5332300771,20.704621,82.0962696,4.40018255,21011743.3,NA,33.1646255,127.721544,1.15619424,133.830535
North Macedonia,3179054123,21.2042386,79.4259147,3.62964131,7510.016,4.41E+10,39.5717684,107.86,0.08223712,109.63
Mali,3391611574,64.5912607,NA,7.0433562,1411.795,NA,3.92889632,140.41,2.90192171,156.18
Malta,1443540357,3.93010086,97.7884617,8.70631522,2346.88,NA,1.09374998,87.75,1.99675441,105.32
Myanmar,4028896854,66.1328538,44.2898952,7.9909156,21631.633,1.14E+13,45.3044043,201.44,0.82271202,122.33
Middle East & North Africa (excluding high income),4922615176,2.56679436,97.9470497,2.09461398,1418044.78,NA,2.5130019,124.012811,1.80420198,111.999933
Montenegro,2194705168,45.9943349,64.664697,1.78368205,2211.201,81337640.9,61.4869888,81.67,0.09702201,44.3
Mongolia,3929514006,3.26984282,93.1993828,7.88522548,20839.561,8.96E+11,8.14264018,142.81,2.00339925,272.01
Northern Mariana Islands,103134722,0,NA,3.78590078,NA,NA,64.4782605,NA,0.94651398,NA
Mozambique,2261416414,88.8570478,12.6199535,7.3985128,8426.766,4.46E+10,48.5088614,139.26,2.79856853,145.17
Mauritania,4311078408,32.0193358,NA,5.57987896,2709.913,5204684941,0.22120889,108.54,2.92732033,198.63
Mauritius,1529264823,10.6338613,84.5423603,3.74457577,4228.051,4.26E+10,18.9950746,129.25,0.18106147,84.74
Malawi,2519822884,79.950879,NA,5.7,1276.116,1.13E+11,33.5702164,241.84,2.80309477,157.18
Malaysia,1692315529,4.76977364,96.6281989,6.00672195,242821.406,2.50E+11,67.5111879,141.25,1.34049066,116.3
North America,8142225682,10.2205287,81.9794017,2.49301543,5792048.5,NA,36.0143177,106.105654,0.76402893,116.287961
Namibia,2601812153,27.6174718,66.7190908,6.35167796,3755.008,1.06E+10,8.49421248,83.64,1.77153652,115.22
New Caledonia,NA,3.98252302,NA,NA,4290.39,NA,45.8971554,110.33,1.65510643,99
Niger,6054135722,78.1414385,24.0603682,7.52904307,2126.86,2.07E+11,0.91134446,101.45,3.89988996,196.77
Nigeria,4863337361,87.2992478,18.8767668,6.30971866,96280.752,6.68E+12,8.12784797,123.36,2.66501917,117.8
Nicaragua,1938772134,51.8392836,40.6953921,4.78452532,4862.442,2.43E+10,25.8766827,136.47,1.31550885,123.88
Netherlands,1282879707,5.65962774,90.9218839,1.42339541,167303.208,7.40E+10,11.1427722,116.59,0.35982817,112.19
Norway,7670895927,57.1964019,57.9782333,1.9695443,47626.996,2.24E+11,33.1669047,108.41,1.12773668,97.6
Nepal,9811601657,84.3747891,15.4826794,5.98898466,8030.73,4.79E+10,25.3644925,135.92,-0.04079901,139.6
Nauru,NA,0.07885016,NA,36.5240981,47.671,5848900,0,105.11,9.10923095,113.55
New Zealand,6357903512,30.3226371,59.8468441,3.71553307,34664.151,2.81E+10,38.5545547,115.53,1.51033949,120.69
OECD members,1522625036,11.8019033,80.2116345,2.0362613,12151110.5,NA,31.3184924,107.108009,0.6562512,110.243235
Oman,3771088051,0,99.9631687,2.75103164,61169.227,1.36E+10,0.00646204,130.27,6.73901769,130.98
Other small states,3246595015,27.0011388,81.4485189,2.87318554,216360.821,NA,25.9779683,126.942457,2.05009283,106.829676
Pakistan,5951836271,46.6045297,61.5853615,4.67470798,166298.45,1.39E+12,1.96528643,137.85,2.09227628,115.99
Panama,1292161513,19.7707886,80.712662,5.06674322,8800.8,1992300000,62.3271442,137.64,1.7030297,92.22
Peru,275826726,25.9968649,79.5556836,2.38215737,61744.946,6.74E+10,57.922345,155.83,1.05697286,143.32
Philippines,2025958716,28.5821719,62.4348963,6.14529879,105653.604,1.67E+12,26.1595734,126.25,1.64668922,114.74
Palau,NA,0,NA,4.37341343,260.357,2388800,87.608694,NA,0.11353316,NA
Papua New Guinea,1324529823,52.5523496,NA,13.5437706,6318.241,1154701874,74.1107644,117.61,2.01278982,121.5
Poland,2221089179,11.5693155,90.0879643,3.31844754,285739.974,2.71E+11,30.7449616,108.7,-0.07484623,119.81
Pre-demographic dividend,4052465139,75.3954028,31.7420525,4.79880299,445746.137,NA,28.4501862,107.591782,2.93498324,132.518834
Puerto Rico,9089227717,1.62786914,NA,-1.1903635,NA,NA,55.5400242,110.81,-1.63312833,80.47
"Korea, Dem. People’s Rep.",352402154,21.033187,62.0519948,NA,40527.684,NA,42.8369737,104.02,0.5133325,101.83
Portugal,878479289,30.4570081,72.8127263,0.79219111,45052.762,2.12E+10,34.8603148,103.51,-0.53919047,104.56
Paraguay,126410755,63.1169353,33.703312,4.86089037,5702.185,3.38E+13,39.3868623,134.31,1.36159766,175.85
West Bank and Gaza,3344828276,10.5302585,NA,-0.181891,NA,1460950700,1.52325583,89.93,2.34407721,87.21
Pacific island small states,1200545886,32.6587923,NA,3.81136177,2478.892,NA,61.5774162,110.294844,1.26453497,100.45588
Post-demographic dividend,1243480438,11.5619325,79.6636302,1.86899976,11313886.8,NA,31.6471103,105.314198,0.45700018,111.571598
French Polynesia,NA,10.1623565,NA,NA,803.073,NA,42.3497268,128,0.50808824,96.81
Qatar,7883284035,0,99.9950267,3.97888215,107853.804,7.69E+10,0,183.89,5.11495266,134.53
Romania,1500649546,24.3318801,72.5236946,3.4108091,70003.03,7.65E+10,29.5192968,87.02,-0.3745755,105.73
Russian Federation,1658216295,3.42242695,92.1428758,0.69997368,1705345.68,1.02E+13,49.763569,122.69,0.2177001,137.41
Rwanda,4221148744,88.1813038,NA,6.16410061,839.743,3.22E+11,19.1811922,132.89,2.48553364,156.64
South Asia,8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA,17.4489087,140.199854,1.28205389,141.065101
Saudi Arabia,7560844062,0.00600874,99.9280186,3.6524817,601046.969,2.80E+11,0.45448413,131.69,2.83595492,64.48
Sudan,4814174218,62.4360285,31.7265266,2.67941181,15364.73,NA,NA,NA,2.41211569,NA
Senegal,3682683776,43.3570636,53.9091172,6.61307474,8855.805,1.66E+12,43.1776866,124.99,2.80670054,126.54
Singapore,1740887705,0.62162522,90.5788736,3.90057323,56372.791,8.07E+10,23.0606488,107.77,1.29844018,135.64
Solomon Islands,1217203082,62.9931406,NA,2.25009095,201.685,NA,78.2636691,106.02,2.71836658,117.86
Sierra Leone,1769823222,73.0542862,NA,4.55677237,1309.119,1.74E+11,41.2912151,198.63,2.20688492,171.74
El Salvador,2750259084,28.2654431,48.4295873,1.71070994,6285.238,3632000000,13.0019302,111.04,0.4626637,106.11
San Marino,NA,NA,NA,-0.9,NA,NA,0,NA,1.20610308,NA
Somalia,3040108067,94.4269497,NA,NA,608.722,NA,10.2652466,111.8,2.71747132,98.07
Serbia,2649207255,23.4292907,83.8712616,-1.5895091,37667.424,5.15E+11,31.0839252,100.57,-0.46948929,101.96
Sub-Saharan Africa (excluding high income),3720962214,70.3029393,39.7893658,4.65903757,822325.722,NA,27.8053884,112.700265,2.74853133,135.431894
South Sudan,4190056033,29.8296333,72.2226348,3.37364828,1496.136,479532659,NA,NA,1.9115625,NA
Sub-Saharan Africa,3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA,27.8067009,112.700665,2.74841869,135.431069
Small states,2886819795,23.9649569,84.6471313,2.5383758,282558.272,NA,36.4664139,122.641886,1.74383972,106.428065
Sao Tome and Principe,2786230189,41.8094377,NA,6.5499331,113.677,232291176,55.8333317,124.03,1.87724368,126.06
Suriname,2599884713,25.3825364,76.2534958,0.25550314,1991.181,1706000000,98.306409,114.19,1.08708969,159.13
Slovak Republic,1830418161,12.2427515,63.9460954,2.75243433,30678.122,1.39E+10,40.3452589,75.71,0.09704542,115.74
Slovenia,1663270074,22.3004866,59.6632067,2.76815802,12812.498,7534760100,61.9563083,86.56,0.09835192,89.83
Sweden,6959197681,49.6934147,29.7747473,2.74728772,43420.947,5.49E+11,68.9229334,93.67,0.99221973,119.61
Eswatini,1797877739,67.6940886,NA,0.91319647,1202.776,1.22E+10,33.802327,115.42,0.75000581,112.95
Sint Maarten (Dutch part),NA,0.04795951,NA,1.58038464,733.4,NA,NA,NA,2.90226583,NA
Seychelles,2097051747,1.29853764,NA,4.50478524,495.045,475267400,88.4130395,117.27,1.55539571,95.18
Syrian Arab Republic,4153448066,2.35322956,97.7917814,NA,30703.791,NA,2.67385503,83.27,-4.53656495,54.83
Turks and Caicos Islands,NA,0.57683143,NA,6.70368436,205.352,5644472.06,36.2105279,NA,1.82030704,NA
Chad,5124716851,89.2400627,NA,6.89998505,729.733,7.32E+10,3.97204582,116.08,3.29694554,163.03
East Asia & Pacific (IDA & IBRD countries),4828311394,15.8321577,85.5776036,6.75958177,11648078.8,NA,29.6373884,129.395279,0.7333269,135.134408
Europe & Central Asia (IDA & IBRD countries),2404547776,6.80252904,89.3287471,2.34316859,3331985,NA,38.7693014,121.310559,0.54769939,124.589376
Togo,2893629146,72.1615066,17.800633,5.92058857,2621.905,2.31E+11,3.82055531,139.06,2.60114952,140.99
Thailand,2936464114,24.095726,79.8390227,0.98441406,316212.744,2.65E+12,32.0401652,132.07,0.43084272,127.65
Tajikistan,4648082923,45.7563924,45.9841419,6.70596817,5188.805,NA,2.96571713,144.69,2.36716393,151.11
Turkmenistan,2208490686,0.04126166,NA,10.3,68422.553,NA,8.78215904,133.26,1.8454459,77.27
