Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest
OECD members,1522625036,11.8019033,80.2116345,2.0362613,12151110.5,NA,31.3184924
Oman,3771088051,0,99.9631687,2.75103164,61169.227,1.36E+10,0.00646204
Other small states,3246595015,27.0011388,81.4485189,2.87318554,216360.821,NA,25.9779683
Pakistan,5951836271,46.6045297,61.5853615,4.67470798,166298.45,1.39E+12,1.96528643
Panama,1292161513,19.7707886,80.712662,5.06674322,8800.8,1992300000,62.3271442
Peru,275826726,25.9968649,79.5556836,2.38215737,61744.946,6.74E+10,57.922345
Philippines,2025958716,28.5821719,62.4348963,6.14529879,105653.604,1.67E+12,26.1595734
Palau,NA,0,NA,4.37341343,260.357,2388800,87.608694
Papua New Guinea,1324529823,52.5523496,NA,13.5437706,6318.241,1154701874,74.1107644
Poland,2221089179,11.5693155,90.0879643,3.31844754,285739.974,2.71E+11,30.7449616
Pre-demographic dividend,4052465139,75.3954028,31.7420525,4.79880299,445746.137,NA,28.4501862
Puerto Rico,9089227717,1.62786914,NA,-1.1903635,NA,NA,55.5400242
"Korea, Dem. People’s Rep.",352402154,21.033187,62.0519948,NA,40527.684,NA,42.8369737
Portugal,878479289,30.4570081,72.8127263,0.79219111,45052.762,2.12E+10,34.8603148
Paraguay,126410755,63.1169353,33.703312,4.86089037,5702.185,3.38E+13,39.3868623
West Bank and Gaza,3344828276,10.5302585,NA,-0.181891,NA,1460950700,1.52325583
Pacific island small states,1200545886,32.6587923,NA,3.81136177,2478.892,NA,61.5774162
Post-demographic dividend,1243480438,11.5619325,79.6636302,1.86899976,11313886.8,NA,31.6471103
French Polynesia,NA,10.1623565,NA,NA,803.073,NA,42.3497268
Qatar,7883284035,0,99.9950267,3.97888215,107853.804,7.69E+10,0
Romania,1500649546,24.3318801,72.5236946,3.4108091,70003.03,7.65E+10,29.5192968
Russian Federation,1658216295,3.42242695,92.1428758,0.69997368,1705345.68,1.02E+13,49.763569
Rwanda,4221148744,88.1813038,NA,6.16410061,839.743,3.22E+11,19.1811922
South Asia,8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA,17.4489087
Saudi Arabia,7560844062,0.00600874,99.9280186,3.6524817,601046.969,2.80E+11,0.45448413
Sudan,4814174218,62.4360285,31.7265266,2.67941181,15364.73,NA,NA
Senegal,3682683776,43.3570636,53.9091172,6.61307474,8855.805,1.66E+12,43.1776866
Singapore,1740887705,0.62162522,90.5788736,3.90057323,56372.791,8.07E+10,23.0606488
Solomon Islands,1217203082,62.9931406,NA,2.25009095,201.685,NA,78.2636691
Sierra Leone,1769823222,73.0542862,NA,4.55677237,1309.119,1.74E+11,41.2912151
El Salvador,2750259084,28.2654431,48.4295873,1.71070994,6285.238,3632000000,13.0019302
San Marino,NA,NA,NA,-0.9,NA,NA,0
Somalia,3040108067,94.4269497,NA,NA,608.722,NA,10.2652466
Serbia,2649207255,23.4292907,83.8712616,-1.5895091,37667.424,5.15E+11,31.0839252
Sub-Saharan Africa (excluding high income),3720962214,70.3029393,39.7893658,4.65903757,822325.722,NA,27.8053884
South Sudan,4190056033,29.8296333,72.2226348,3.37364828,1496.136,479532659,NA
Sub-Saharan Africa,3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA,27.8067009
Small states,2886819795,23.9649569,84.6471313,2.5383758,282558.272,NA,36.4664139
Sao Tome and Principe,2786230189,41.8094377,NA,6.5499331,113.677,232291176,55.8333317
Suriname,2599884713,25.3825364,76.2534958,0.25550314,1991.181,1706000000,98.306409
Slovak Republic,1830418161,12.2427515,63.9460954,2.75243433,30678.122,1.39E+10,40.3452589
Slovenia,1663270074,22.3004866,59.6632067,2.76815802,12812.498,7534760100,61.9563083
Sweden,6959197681,49.6934147,29.7747473,2.74728772,43420.947,5.49E+11,68.9229334
Eswatini,1797877739,67.6940886,NA,0.91319647,1202.776,1.22E+10,33.802327
Sint Maarten (Dutch part),NA,0.04795951,NA,1.58038464,733.4,NA,NA
Seychelles,2097051747,1.29853764,NA,4.50478524,495.045,475267400,88.4130395
Syrian Arab Republic,4153448066,2.35322956,97.7917814,NA,30703.791,NA,2.67385503
Turks and Caicos Islands,NA,0.57683143,NA,6.70368436,205.352,5644472.06,36.2105279
Chad,5124716851,89.2400627,NA,6.89998505,729.733,7.32E+10,3.97204582
East Asia & Pacific (IDA & IBRD countries),4828311394,15.8321577,85.5776036,6.75958177,11648078.8,NA,29.6373884
Europe & Central Asia (IDA & IBRD countries),2404547776,6.80252904,89.3287471,2.34316859,3331985,NA,38.7693014
Togo,2893629146,72.1615066,17.800633,5.92058857,2621.905,2.31E+11,3.82055531
Thailand,2936464114,24.095726,79.8390227,0.98441406,316212.744,2.65E+12,32.0401652
Tajikistan,4648082923,45.7563924,45.9841419,6.70596817,5188.805,NA,2.96571713
Turkmenistan,2208490686,0.04126166,NA,10.3,68422.553,NA,8.78215904
Latin America & the Caribbean (IDA & IBRD countries),1839823316,27.3496512,73.1612716,1.03930561,1844357.99,NA,46.4597438
Timor-Leste,2045010047,18.4224884,NA,-25.907172,469.376,11381600,46.8863492
Middle East & North Africa (IDA & IBRD countries),4941244326,2.52759848,97.9470497,2.11285025,1415553.68,NA,2.5136919
Tonga,1205763996,1.69762931,NA,2.07260726,121.011,47700000,12.5
South Asia (IDA & IBRD),8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA,17.4489087
Sub-Saharan Africa (IDA & IBRD countries),3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA,27.8067009
